content,flag
2.客户反映换挡位时，从P到D档位给急油时，车辆有灭火现象,1
检查行李箱锁头松动,1
检查左前安全带插口不好用,1
1万公里保养（1.4T、1.8T）,2
两前内拉杆球头异响,1
检查车子怠速发抖发动机灯亮?,1
客户反映加满油后仪表显示300KM，有时显示100KM,1
积碳过多,2
报修点烟器失灵,1
客户反映：前部事故维修整车划伤安邦,1
检查电动门关不上,1
检查发动机油是否渗漏,1
电脑检测节气门开度:5.1喷油脉宽:,0
清洗节气门及喷油嘴000106,0
拆装修复右前后门及右前后视镜盖,2
建议机油四滤火花塞,0
拆卸和安装更新燃油滤清器及油?,0
更换发动机前后胶敦,0
更换气囊传感和诊断模块,1
津D79278,2
免费服务：赠送车辆清洗,2
发电机(3G10)?,0
清洁发动机舱、润滑门铰链、清烟灰缸轮胎打蜡,0
检查发动机故障灯有时亮起,1
检查雨刮喷水漏,1
更新燃油滤清器(无货未换),0
行驶中感觉波箱响试车未见异常,1
新迈腾TSI7500km定期保养,2
做底辅助工时,2
清洗节气门及喷油嘴.,0
发动机强力抗磨剂,0
检查车辆四门把手无法开启自动回位:,1
换右减震羊角三角臂,1
服务顾问：李达电话：13700611478,2
清洗节气门（3.0）,0
"建议二:发动机处有渗油,建议查修",1
检查行驶时踩刹车抖动,1
右前翼子板.右前门.右外后视镜.右前轮.右门槛做漆,2
更换冷却液（预计费用：754元）,2
1.客户反映：检查发动机舱内有油烟冒出,1
检查发现发动机在运转时,0
检查扬声器无声音,1
经检查后发现如客户所说发动机故障灯亮,1
注:建议更换一组火花塞、清洗油路等,0
提醒：下次30000KM需要保养,2
导航+摄像头,2
建议更换正时链条调节器、建议清洗燃油室气门积碳,0
更换发动机右支架垫,0
建议客户做过保养后1000公里回来复查机油位,2
检查左后电动遮阳帘失效拆修,1
左后减振漏油,1
检查车辆冷车启动困难,1
更换发动机工时折扣,0
后围板内外(喷漆),2
更换左侧倒车镜,2
杨万新,2
检查倒车雷达显示屏不显示,1
客户反映：行驶到120以上方向盘抖动，感觉像是路不平车辆颠簸，,1
轮胎拆装,2
四轮钢圈描漆,2
"mobilitycar(WXBZ,mobilitycarVINMA81096,servicedays:5)",2
"细查底盘,侧盖处是否有油迹",1
异响未试出,1
消除喷油嘴灯检查胎压灯,2
左后保及右前门做漆,2
前风档玻璃破裂,1
客户反映:上次钣金掩饰红师傅拆装修复前保险杠后,1
经技师检查：建议更换遮阳帘.,2
客户车辆显示屏黑屏,1
经检查左前轮胎扎钉漏气,1
安装保险丝(97Z9),2
检查刹车灯长亮,1
更换发动机机油美孚机油格,0
常规保养|嘉实多,2
右前制动卡钳总成并重新添加制动液后试车故障排除!,1
燃油滤清器保养，预计费用：1461元+100元辅料,0
更换机油机滤(CIVIC),2
检查托档时底盘异响,1
宝马机油保养(特别注意:发动机热,0
追加更换两后减震胶套,1
右前保、右前翼子板修复,2
清洗节气门(专用电脑匹配),0
发动机机油滤清器总成(柴油),0
项目2010年“春泽满路“免费检测活动,2
检测开空调水温高,1
建议换正时水泵变速箱油刹车油后轮胎氧传感器清洗积碳节气门进气管,0
检查右前门右B柱内饰板松动异响,1
润滑系统清洗保护二件套,2
24小时救援预约热线0,2
建议更换全车油水清洗油路,2
SRP011.燃油滤清器保养,0
更换AMT变速箱总成,2
检查行车左B柱响.处理底板,1
1估价:都邦吴宇需复刊41000由于解决故障需要,1
右前后门右前叶子板右边梁喷漆,2
钣金拆装更换左前门,2
没有问题,2
项目更换右前减震、下托臂及附件,1
没有维修手册,2
节气门深度清洗,0
经检查为转向柱总成故障,1
清洗发动机润滑系统,0
进气歧管,0
检查起动机异响,1
检查两前门处在行驶时有异响(车主赶时间,1
原因车辆行驶在底盘异响,1
修复左前大灯,2
H检查车身行驶抖动(含路试),1
客户反映车辆发动机故障灯亮，行驶中发动机发耸,1
1.4T发动机自动变速箱车辆的软件升级活动,0
项目：检查雨刮水报警,1
更换机油及格、常规检查,2
增项:正时皮带电池,0
检查凉车起动不好起动发动机抖,1
"变矩器油封,水泵,正时链条一套",0
换油服务:更换机油机油格更换刹车油,2
建议下次保养里程为67500,2
建议更换发动机线束及节气门,0
检查组合仪表左侧在颠路有异响,1
检查左前门下饰板脱落（客户下次搞）,1
W两滤机油(灰喜力),2
GB,2
三元催化剂,2
10月客户关怀活动,2
涡轮增压器更换,0
发动机左悬置软垫总成拆卸和安装,0
发动机润滑道清洗及保护及辅料,0
提醒客户换后轮胎做四轮定位,2
项目：二手车百项检测,2
换左前门集控开关,2
检查汽油泵压力不稳定有时下降厉害,1
发动机燃烧室积炭清洁养护,0
后杠及后盖油漆,2
拆卸安装前排气歧管,0
底盘装甲（6瓶）,2
机电配钥匙编程,2
项目：更换机油压力传感器,0
发动机气缸均衡修复,0
空调杀菌除臭预计:168元,1
挂倒档不走,2
Q油箱外盖喷漆,2
发动机号:TQSG,0
检查清洁节气门密封性,0
更换油箱加注口盖,2
清洗发动机喷油系统?,0
节气门清洗处理,0
A1..发动机线路养护,0
更换油底壳总成上部和或衬垫(Nu发动机)?,0
保养更换,2
(停放12天),1
车身外侧设备:客户描述右前门玻璃升降开关银色饰条脱落,1
更换(空调、助力泵、发电机)皮带2.8柴,0
整车编程,2
缸垫有漏水,1
项目更换座椅中间扶手后盖板总成,2
"发动机机仓线路养护,BJ",0
右前门上的下幅密封胶条有脱落现象,1
空气滤清器总成...更换?,0
更换1.2氧传感器,0
爆震传感器(γ发动机),1
建议更换火花塞、汽滤,0
紧固右前门内饰板(门板扣两颗),1
发动机盖:拆装校正,0
服务顾问:杨灏?电话:,2
