content,label
"风挡玻璃窗框拆卸零件,后部保险杠盖板 拆卸和安装,后部保险杠盖板 喷漆,右前车门整形,右前车门喷漆,右后车门喷漆,右后翼子板喷漆,左前翼子板喷漆,左前车门喷漆,左后车门喷漆,可报销当日出租车费30元（凭票）,提供免费洗车,可提供替换车服务 A6 600元/天,代理",0
更换前杠及下格栅;前车牌修复;右后杠喷漆;01表所有项目检测（11条内容，18项目）;右前叶子板、右后杠修复;左后门抛光;更换前杠导流板;右前叶子板喷漆;前杠及拖车钩盖喷漆;右后叶子板抛光;左前门及饰板修复;,0
免费保养;第一次保养;修复前杠、右前门、后杠;更换右前叶、叶子板内衬;拆装后杠15;右前钢圈、右前门及拉手喷漆;平安保险单方;拆装右前门附件10;前杠、后杠、右前叶喷漆;更换右前叶子板;四轮定位(机修B);,0
检查手刹刹不住，检查左后视镜松动;基础套餐A1(27500公里或30个月）;十四项检查，更换机油及机油滤芯;检查漏防冻液，检查防尘套;更换右后减震防尘套;更换防冻液及下水管;更换右前雾灯灯泡;驻车制动控制杆或踏板总成，包括驻车制动调整;,0
拆装、修复后保险杠;行李箱盖/门喷漆;后保险杠喷漆;行李箱盖/门修复;后围板修复;后灯位修复、校正;事故车  1.检查后灯光是否正常;事故车    太保三者车(物价)￥1400元;,0
"更换正时皮带,更换刹车真空泵,更换机油滤底座,更换水泵,更换后减震器*2,更换曲轴箱通风阀,更换断路阀,更换发动机悬置*2,更换刹车油,更换后刹车软管*2,更换前刹车片，盘,更换后刹车片，盘,更换火花塞，点火线圈*4,更换两侧下弯控制臂*2,更换上控制臂*4,更换前减震器*2,更换前大灯*2,蓄电池 更新,灰尘和花粉过滤器 拆卸和安装,更换前雾灯*2",0
"定期保养C7/2.5/2.8/3.0T.套项,欢迎提前1天预约 059522356816,保养：欢迎您陪同做直接接车环节,保养：提供替代交通工具服务,保养：免费添加全车油水及洗车",0
"自费或保险;1.非本店,中华联合三者,提车交钱;右后门拆装及整形,右后视镜拆装;右后视镜做底;右后视镜喷漆;右后门小面积做底;右后门喷漆;喷漆准备处理,右前翼子板抛光;2,续保赠送,1件漆;后杠饰件做底;后杠饰件喷漆;",0
一般维修;更换右前挡泥板(剩下的放后备箱);检查右后轮经常缺气(气压灯经常报警);检查灯光系统报警灯亮;方向盘有点不正、调校一下;更换发动机下护板(原厂塑胶那种);右前叶子板和右前门修复;右前叶子板和右前门油漆;,0
1316；&nbsp;修复右前后前后门；&nbsp;更换右前后门亮条；&nbsp;拆装右前后门把手；&nbsp;修复右门槛；&nbsp;右前后门及把手喷漆；&nbsp;右门槛喷漆；&nbsp;BX:2200+报价；&nbsp;太平理赔，差大保单；&nbsp;,0
